date,actual_volatility,forecasted_volatility,model
2023-10-09,0.4111130652806437,0.41233256,lstm
2023-10-10,0.4035767138543213,0.41178203,lstm
2023-10-11,0.3985682706042981,0.40792683,lstm
2023-10-12,0.3857216005853816,0.40271857,lstm
2023-10-13,0.3818718581015517,0.39750156,lstm
2023-10-16,0.37278922210767074,0.39098224,lstm
2023-10-17,0.3771029311169659,0.38186598,lstm
2023-10-18,0.3587354225374316,0.37663093,lstm
2023-10-19,0.36282620106979313,0.36873722,lstm
2023-10-20,0.3626412578155023,0.360791,lstm
2023-10-23,0.364314190322993,0.35111067,lstm
2023-10-24,0.3550355786853268,0.34420022,lstm
2023-10-25,0.3288170013857775,0.33768436,lstm
2023-10-26,0.31937169190691517,0.3644495,lstm
2023-10-27,0.30632686191905684,0.37022674,lstm
2023-10-30,0.30558391936583507,0.35826382,lstm
2023-10-31,0.3101820352404724,0.35354048,lstm
2023-11-01,0.3051712100557705,0.3444315,lstm
2023-11-02,0.3064330328728384,0.33642307,lstm
2023-11-03,0.3076925634892308,0.33272287,lstm
2023-11-06,0.3052365798049424,0.3329164,lstm
2023-11-07,0.30356258890612314,0.33073702,lstm
2023-11-08,0.3032745035217567,0.32825026,lstm
2023-11-09,0.3001257188967055,0.3288954,lstm
2023-11-10,0.306451210655657,0.33509627,lstm
2023-11-13,0.3069426318277527,0.33686772,lstm
2023-11-14,0.3032960674013453,0.335108,lstm
2023-11-15,0.2940102846951471,0.336372,lstm
2023-11-16,0.30512007623001425,0.3364101,lstm
2023-11-17,0.3014877357377732,0.33460724,lstm
2023-11-20,0.28674581440705144,0.3272582,lstm
2023-11-21,0.2957507176396902,0.32265726,lstm
2023-11-22,0.2955817646646638,0.32088947,lstm
2023-11-23,0.29455542699501847,0.31733486,lstm
2023-11-24,0.2943108632608723,0.31477076,lstm
2023-11-27,0.30569109533571714,0.31343868,lstm
2023-11-28,0.2906624560029469,0.31199095,lstm
2023-11-29,0.29432909393627954,0.31043267,lstm
2023-11-30,0.2866649462776815,0.31053916,lstm
2023-12-01,0.2866894085792235,0.30910167,lstm
2023-12-04,0.28379668947481307,0.3067273,lstm
2023-12-05,0.29278935433367265,0.30466542,lstm
2023-12-06,0.3028942369056765,0.30457798,lstm
2023-12-07,0.30773571041977493,0.30279464,lstm
2023-12-08,0.2983546622783854,0.30495507,lstm
2023-12-11,0.28292697895848473,0.30779666,lstm
2023-12-12,0.2714411872815097,0.30689722,lstm
2023-12-13,0.2714159376242429,0.30475444,lstm
2023-12-14,0.27310867827387636,0.30150715,lstm
2023-12-15,0.27530006457084,0.2968606,lstm
2023-12-18,0.27620895202563395,0.294765,lstm
2023-12-19,0.28668491181500066,0.2925906,lstm
2023-12-20,0.3057674658593713,0.29142484,lstm
2023-12-21,0.3154820776637348,0.29183653,lstm
2023-12-22,0.3109917188979576,0.29669073,lstm
2023-12-27,0.3214298713481915,0.2981942,lstm
2023-12-28,0.3090484172324474,0.3071578,lstm
2023-12-29,0.32345064963484094,0.3074696,lstm
2024-01-03,0.33250639220799305,0.31094292,lstm
