Date,open,high,low,close,volume,log_return,simple_return,volatility_30d,volatility_90d,momentum_5d,momentum_20d,risk_free_rate
2014-04-28,101.0,100.75,100.5,101.0,735378,0.0,0.0,,,,,
2014-04-29,101.0,100.75,100.73999786376953,101.0,43050,0.0,0.0,,,,,0.1397000026702881
2014-04-30,101.0,101.0,100.73999786376953,101.0,487900,0.0,0.0,,,,,0.13710000038146972
2014-05-01,101.0,101.0,100.73999786376953,101.12000274658203,92500,0.0011874407188978441,0.0011881460057627802,,,,,0.1340999984741211
2014-05-02,101.12000274658203,101.25,100.8499984741211,101.37999725341797,39800,0.0025678483920942453,0.002571148138588386,,,0.0037623490437421747,,0.1325
2014-05-06,101.37999725341797,101.5,101.48999786376953,101.37999725341797,35000,0.0,0.0,,,0.0037623490437421747,,0.1328999996185303
2014-05-07,101.37999725341797,101.48999786376953,101.0,101.37999725341797,357463,0.0,0.0,,,0.0037623490437421747,,0.1380000019073486
2014-05-08,101.37999725341797,101.69999694824219,101.5,101.5,825780,0.0011829925295905376,0.0011836925412620491,,,0.004950495049504955,,0.1339999961853027
2014-05-09,101.5,101.69999694824219,101.30000305175781,101.5,430900,0.0,0.0,,,0.0037578841287246867,,0.1343000030517578
2014-05-12,101.5,101.69999694824219,101.62000274658203,101.62000274658203,34934,0.0011815947117107821,0.0011822930697737988,,,0.0023673850825238762,,
2014-05-13,101.62000274658203,101.9000015258789,101.5999984741211,101.75,194520,0.0012784311291515916,0.0012792486705806017,,,0.003649662227324102,,0.1222999954223633
2014-05-14,101.75,101.80000305175781,101.5,101.75,151659,0.0,0.0,,,0.003649662227324102,,0.1213000011444092
2014-05-15,101.75,101.94999694824219,101.55000305175781,101.75,222200,0.0,0.0,,,0.0024630541871921707,,0.1217000007629395
2014-05-16,101.75,101.80000305175781,101.80000305175781,101.75,31929,0.0,0.0,,,0.0024630541871921707,,0.1317000007629395
2014-05-19,101.75,101.80000305175781,101.80000305175781,101.75,114300,0.0,0.0,,,0.0012792486705806017,,
2014-05-20,101.75,101.80000305175781,101.5999984741211,101.75,232858,0.0,0.0,,,0.0,,0.12420000076293951
2014-05-21,101.75,101.9000015258789,101.5,101.75,453700,0.0,0.0,,,0.0,,0.1296000003814697
2014-05-22,101.75,102.0,101.87000274658203,102.12000274658203,65000,0.0036297949462113324,0.0036363906297989246,,,0.0036363906297989246,,0.11909999847412109
2014-05-23,102.12000274658203,102.33000183105469,102.0,102.25,141700,0.001272175653995484,0.0012729852127066899,,,0.004914004914004844,,0.1202999973297119
2014-05-27,102.25,102.33000183105469,102.33000183105469,102.25,26200,0.0,0.0,,,0.004914004914004844,0.012376237623762387,
2014-05-28,102.25,102.4000015258789,102.25,102.25,84948,0.0,0.0,,,0.004914004914004844,0.012376237623762387,0.11510000228881839
2014-05-29,102.25,102.80000305175781,102.4000015258789,102.5,40500,0.002442003655551809,0.0024449877750611915,,,0.0073710073710073765,0.014851485148514865,0.11680000305175779
2014-05-30,102.5,102.80000305175781,102.80000305175781,102.62000274658203,48000,0.0011700736999435085,0.001170758503239222,,,0.004896200416688146,0.016039631154277645,0.1156999969482422
