Date,GUINNES,TRANSCO,JBERGER,PZ,NNFM,NCR,IMG,NESF,NB,NESTLE
2014-04-29,-0.014265563573053567,-0.060203305725901136,-0.05020870957092882,0.005893799791770701,-0.05064378506161541,-0.07955262634222643,-0.014002597176928531,0.0,0.005893761272123607,0.0
2014-04-30,0.01709441710243198,-0.007185709997090511,0.0,0.007360331349022429,-0.004338397559888305,0.025158535112342395,-0.011299555253933394,0.0,0.007360354406292317,0.0
2014-05-02,0.002820873685587749,0.0469570503901211,0.0,0.006644567981564161,0.004338397559888419,0.030583394379328263,-0.0317486983145803,0.0025678483920942453,0.006644542718668511,0.0
2014-05-06,0.011363747874334744,0.0,0.008163302695052716,-0.004611935703337376,0.004535150752045707,-0.030771629315979175,0.004669488134671398,0.0,-0.00461197413012993,0.0
2014-05-08,0.016807102601408493,0.0023228237829876117,0.024292669118036698,-0.006689013752792,0.0,0.048790118046787075,0.0027739268827252244,0.0011829925295905376,-0.00668898815079654,0.0
2014-05-09,0.027399013566559372,0.045359313424991846,0.0053191564183187705,0.0,0.012903392926887372,-0.02409752908020592,-0.002773926882725208,0.0,0.0,0.0
2014-05-12,0.010752781438700539,-0.024692641665808368,0.005291012628533163,0.01341631429357447,-0.03922067647349868,-0.030962195888508813,0.0,0.0011815947117107821,0.013416308900223207,0.0
2014-05-13,0.047006059288742415,0.048790117724254164,0.0026350451548214355,0.026465691416011523,-0.022472834177640694,0.043083545035891194,0.0,0.0012784311291515916,0.026465646606337496,0.0
2014-05-14,0.042453334097148826,-0.03749062700650368,0.0,0.022557001500613506,0.06595790553549372,0.0,0.0,0.0,0.022557047748727858,0.0
2014-05-15,0.02415574022821836,0.011173343459892338,-0.02666822164632222,0.02429271421612899,0.04574607787698786,-0.036813938113963426,-0.01680711831638129,0.0,0.0242926925690447,0.0
2014-05-19,-0.07482383376452743,0.048790117724254164,0.0,0.008853695632696437,-0.067252263248118,0.006006018469993707,0.005540180375615351,0.0,0.00885366797009848,0.0
2014-05-20,-0.0487901791079398,0.01929323580458537,0.013423007444648884,0.012084669924680004,0.004338397559888419,0.041061517976467614,0.0,0.0,0.012084739215071827,0.0
