Date,open,high,low,close,volume,log_return,simple_return,volatility_30d,volatility_90d,momentum_5d,momentum_20d,risk_free_rate
2012-01-31,2.95000004768372,2.95000004768372,2.95000004768372,2.95000004768372,150000,0.0,0.0,,,,,0.1939999961853027
2012-02-07,2.80999994277954,2.80999994277954,2.80999994277954,2.80999994277954,207785,-0.048620723533199975,-0.047457661912278626,,,,,0.1776000022888184
2012-03-07,2.95000004768372,2.95000004768372,2.95000004768372,2.95000004768372,258288,0.04862072353319998,0.04982210240392293,,,,,0.208700008392334
2012-03-13,2.95000004768372,2.95000004768372,2.95000004768372,2.95000004768372,109550,0.0,0.0,,,,,0.1564000034332275
2012-03-15,3.08999991416931,3.08999991416931,3.08999991416931,3.08999991416931,119500,0.04636587661703034,0.047457581092419154,,,0.047457581092419154,,0.15310000419616698
2012-04-18,2.94000005722046,2.94000005722046,2.94000005722046,2.94000005722046,78065,-0.049761462319399895,-0.0485436443739109,,,-0.0033898272208882085,,0.18459999084472659
2012-04-23,2.79999995231628,2.79999995231628,2.79999995231628,2.79999995231628,66537,-0.04879020066207337,-0.04761908237394352,,,-0.003558715539819013,,
2012-05-28,2.66000008583069,2.66000008583069,2.66000008583069,2.66000008583069,123600,-0.05129324509047438,-0.0499999531677765,,,-0.09830507022558599,,
2012-05-30,2.52999997138977,2.52999997138977,2.52999997138977,2.52999997138977,400000,-0.05010686362974634,-0.04887222189706142,,,-0.1423729049169763,,0.2103000068664551
2012-06-07,2.41000008583069,2.41000008583069,2.41000008583069,2.41000008583069,200000,-0.04859250831408044,-0.047430785342326476,,,-0.2200646754779687,,0.2215999984741211
2012-06-08,2.28999996185303,2.28999996185303,2.28999996185303,2.28999996185303,673584,-0.051074982208874437,-0.0497925807900117,,,-0.22108846350906342,,0.21719999313354488
2012-06-12,2.28999996185303,2.40000009536743,2.28999996185303,2.40000009536743,500391,0.04691697618224567,0.0480349936012181,,,-0.14285709420028858,,0.2355999946594238
2012-06-19,2.40000009536743,2.40000009536743,2.40000009536743,2.40000009536743,236002,0.0,0.0,,,-0.0977443541630807,,0.18319999694824218
