Date,open,high,low,close,volume,log_return,simple_return,volatility_30d,volatility_90d,momentum_5d,momentum_20d,risk_free_rate
2012-01-05,1.28999996185303,1.28999996185303,1.28999996185303,1.28999996185303,155000,-0.04546242130868921,-0.04444448957717828,,,,,0.22219999313354488
2012-01-06,1.32000005245209,1.32000005245209,1.23000001907349,1.23000001907349,1000070,-0.04762800391105722,-0.04651158492543872,,,,,0.2147999954223633
2012-01-17,1.28999996185303,1.28999996185303,1.25999999046326,1.28999996185303,994150,0.04762800391105718,0.04878044052774522,,,,,
2012-01-18,1.35000002384186,1.35000002384186,1.27999997138977,1.27999997138977,1114127,-0.007782133222502296,-0.00775193082090897,,,,,0.2220000076293945
2012-01-19,1.28999996185303,1.29999995231628,1.28999996185303,1.29999995231628,603512,0.015504172207922263,0.015624985448081441,,,-0.03703708936484951,,0.20889999389648442
2012-01-20,1.29999995231628,1.29999995231628,1.29999995231628,1.29999995231628,82606,0.0,0.0,,,0.007751930820901309,,0.19870000839233398
2012-01-23,1.24000000953674,1.24000000953674,1.24000000953674,1.24000000953674,6029449,-0.04725284047984085,-0.04615380383101919,,,0.008130073421285466,,
2012-01-25,1.17999994754791,1.17999994754791,1.17999994754791,1.17999994754791,604610,-0.049596993281216285,-0.04838714639304398,,,-0.08527133144028143,,0.1890999984741211
2012-01-27,1.23000001907349,1.23000001907349,1.23000001907349,1.23000001907349,200000,0.04149979086457996,0.0423729438543472,,,-0.03906246362020782,,0.18569999694824219
2012-01-30,1.23000001907349,1.23000001907349,1.23000001907349,1.23000001907349,1466400,0.0,0.0,,,-0.05384610446951721,,
2012-01-31,1.16999995708466,1.20000004768372,1.16999995708466,1.20000004768372,227049,-0.02469258836084133,-0.02439022026387272,,,-0.07692300638502692,,0.1939999961853027
2012-02-01,1.20000004768372,1.20000004768372,1.20000004768372,1.20000004768372,1510000,0.0,0.0,,,-0.03225803350434153,,0.19440000534057622
2012-02-02,1.25999999046326,1.25999999046326,1.25999999046326,1.25999999046326,120900,0.048790116864158004,0.04999995032946347,,,0.06779664955205589,,0.1854999923706055
