Date,open,high,low,close,volume,log_return,simple_return,volatility_30d,volatility_90d,momentum_5d,momentum_20d,risk_free_rate
2005-01-05,33.7599983215332,33.7599983215332,33.7599983215332,33.45000076293945,828418,-0.00922481062754515,-0.009182392594967115,,,,,0.1397999954223633
2005-01-06,33.40000152587891,33.40000152587891,33.40000152587891,33.40000152587891,977080,-0.0014958637149404055,-0.001494745468464509,,,,,0.1409000015258789
2005-01-07,33.18000030517578,33.18000030517578,33.18000030517578,33.18000030517578,2762852,-0.006608651707770403,-0.00658686259438257,,,,,0.1357999992370605
2005-01-10,33.38999938964844,33.38999938964844,33.38999938964844,33.38999938964844,954688,0.006309141716210482,0.006329086273091367,,,,,
2005-01-11,33.52000045776367,33.52000045776367,33.52000045776367,33.52000045776367,1216513,0.00388585359422505,0.0038934133121169,,,-0.007108941815807235,,0.1322999954223633
2005-01-12,33.56000137329102,33.56000137329102,33.56000137329102,33.56000137329102,1192070,0.0011926332491597536,0.0011933447190060065,,,0.0032885084556841804,,0.13189999580383302
2005-01-13,32.81000137329102,32.81000137329102,32.81000137329102,32.81000137329102,1380050,-0.022601533690598925,-0.0223480324585712,,,-0.017664674420171722,,0.125600004196167
2005-01-14,32.0,32.0,32.0,32.0,2046638,-0.024997486029150612,-0.024687636067897367,,,-0.03556360139610104,,0.1284000015258789
2005-01-17,32.0,32.0,32.0,32.0,1371263,0.0,0.0,,,-0.04162921278996379,,
2005-01-18,31.98999977111816,31.98999977111816,31.98999977111816,31.98999977111816,1895708,-0.0003125559930932934,-0.00031250715255748407,,,-0.04564441126942598,,
2005-01-19,31.60000038146973,31.60000038146973,31.60000038146973,31.60000038146973,1755131,-0.01226621414194003,-0.012191290792084919,,,-0.058402887712071805,,0.12470000267028811
2005-01-24,31.6200008392334,31.6200008392334,31.6200008392334,31.6200008392334,1687588,0.0006327256578530535,0.0006329258709565355,,,-0.03626944481100647,,
2005-01-25,30.07999992370605,30.07999992370605,30.07999992370605,30.07999992370605,2251217,-0.04992936177727526,-0.04870337997007734,,,-0.0600000023841859,,0.1464999961853027
2005-01-26,30.0,30.0,30.0,30.0,1808975,-0.0026631148831157163,-0.002659571938462779,,,-0.0625,,0.140600004196167
2005-01-27,28.69000053405762,28.69000053405762,28.69000053405762,28.69000053405762,1294448,-0.044648733054116735,-0.04366664886474603,,,-0.10315721352520635,,0.134399995803833
2005-01-28,28.6200008392334,28.6200008392334,28.6200008392334,28.6200008392334,1575596,-0.002442845156415018,-0.00243986383831285,,,-0.09430378184374344,,0.1323999977111816
2005-01-31,28.0,28.0,28.0,28.0,1846465,-0.02190129327641979,-0.021663201294651158,,,-0.11448452698147249,,
2005-02-01,27.44000053405762,27.44000053405762,27.44000053405762,27.44000053405762,2747815,-0.020202687854778374,-0.01999998092651356,,,-0.08776593737847205,,0.12819999694824222
2005-02-02,26.79999923706055,26.79999923706055,26.79999923706055,26.79999923706055,1575077,-0.02359996327150492,-0.02332366197306457,,,-0.10666669209798163,,0.1202999973297119
2005-02-03,26.1200008392334,26.1200008392334,26.1200008392334,26.1200008392334,1490052,-0.025700522510775176,-0.02537307526810717,,,-0.08957823795692865,-0.22630325421037623,0.1165999984741211
2005-02-04,26.42000007629395,26.42000007629395,26.42000007629395,26.42000007629395,1547747,0.011419965443768268,0.011485422183062699,,,-0.07686934655583955,-0.21016444024821412,0.11789999961853029
2005-02-07,27.59000015258789,27.59000015258789,27.59000015258789,27.59000015258789,1514390,0.04333209177783149,0.044284635613750734,,,-0.014642851693289605,-0.17395212897787837,
2005-02-08,28.78000068664551,28.78000068664551,28.78000068664551,28.78000068664551,2143248,0.04222733155790262,0.043131588527592024,,,0.0488338238523256,-0.13260999331105816,0.1172999954223633
2005-02-09,30.21999931335449,30.21999931335449,30.21999931335449,30.21999931335449,2382102,0.04882320880538635,0.05003469744103106,,,0.12761194677813914,-0.09493860839292834,0.1160000038146973
2005-02-10,31.71999931335449,31.71999931335449,31.71999931335449,31.71999931335449,2734080,0.04844344099652856,0.049636003775060944,,,0.2143950342340588,-0.053699317417290726,0.12
