Date,GUINNES,TRANSCO,JBERGER,PZ,NNFM,NCR,IMG,NESF,NB,NESTLE
2014-06-10,0.4679378929401148,0.4786485530163611,0.37038440861445704,0.20716896127407272,0.4952551058074926,0.5742046216315564,0.2599993198899327,0.015065672246962607,0.20716890997361212,0.0
2014-06-11,0.46717018680624517,0.46427875363996657,0.3619080087213246,0.2092167800502128,0.4925089593044266,0.5459408420992197,0.21421049980174126,0.015125051129056403,0.20921672080157885,0.0
2014-06-12,0.4655965019998433,0.42644293513815734,0.32565388930586553,0.26706739929421497,0.5024130683470787,0.49120216170346714,0.21079921513614872,0.015125051129056403,0.2670673449777907,0.0
2014-06-13,0.46459876519144927,0.43406235036708885,0.32599743262070957,0.2743757909005263,0.48992123705823115,0.48666315001435106,0.20802368357555298,0.015125051129056403,0.2743756850681925,0.0
2014-06-16,0.4645481609518048,0.4262547155418621,0.33026436343475724,0.2775072331648956,0.49192745071073896,0.4962703313228352,0.1838973572410875,0.015153845122697155,0.2775070891218499,0.0
2014-06-17,0.4612353617887652,0.4194403588289871,0.32916544409929666,0.31812006757741823,0.4966815765092121,0.5037569609558764,0.16846532734110747,0.0140035517477428,0.3181199475589862,0.0
2014-06-18,0.461279487143234,0.4212475485956524,0.32907786849750015,0.31918417686402295,0.4730465808909382,0.532277400390488,0.16866935327496468,0.0140035517477428,0.31918401688584336,0.0
2014-06-19,0.46128426198428113,0.43967011206247897,0.3433544369231307,0.32212739728930595,0.4730123857420751,0.5336032355991096,0.15572389628822783,0.014056884739766334,0.3221272156068368,0.0
2014-06-20,0.46046331944675717,0.4398396512076503,0.33776847662708676,0.3211669001036659,0.46466445405819595,0.5133551281930524,0.15550198302289048,0.014049461798446529,0.3211667283907654,0.0
2014-06-23,0.45577239731185615,0.4235974546433572,0.3380026285554725,0.32478804297446395,0.4662199956837594,0.5283809135433787,0.1552970200599718,0.014049461798446529,0.3247878491727407,0.0
2014-06-24,0.455612549375633,0.41598339087113134,0.34261573466000167,0.3315156057574736,0.4691916808086497,0.5250767493715712,0.1555374950130263,0.013988913542043853,0.3315154375582276,0.0
2014-06-25,0.43791439987439695,0.39514324873071865,0.3454194652812585,0.33105387166972083,0.4829230062667235,0.5296576676188429,0.15568393207454162,0.014569723244762009,0.33105375368216133,0.0
2014-06-26,0.42887394104782106,0.3971119757941171,0.35134547144885003,0.328702803669234,0.47787511098830554,0.5296576676188429,0.21024313400043512,0.014569723244762009,0.32870265475382143,0.0
2014-06-27,0.4250913202004879,0.4840835956618372,0.3408637785938101,0.3233310520048221,0.4406539660464022,0.519188483730642,0.2547023352947537,0.014569723244762009,0.3233309096812931,0.0
2014-06-30,0.41798127078821434,0.48911511394716195,0.3415212106293945,0.32334805265271593,0.4382736789949575,0.5224801514749412,0.2520442435721509,0.014569723244762009,0.32334790747284703,0.0
2014-07-01,0.35973387696873677,0.4726046246020706,0.3415212106293945,0.32266004259374126,0.39190478702208903,0.5218323141536139,0.25498726290357165,0.014569723244762009,0.3226599038407737,0.0
2014-07-02,0.32971465478846773,0.4746832302681567,0.34278955851772613,0.32110322251766144,0.3925730744451957,0.5253684351961974,0.2729716224155773,0.014569723244762009,0.3211030618778423,0.0
2014-07-03,0.3314162776673184,0.4690813868096813,0.34060183943723116,0.31799466981733876,0.4036475028272007,0.511096430935277,0.26860356433844673,0.015636350283027914,0.3179945234511559,0.0
2014-07-04,0.3317571847360929,0.46587395784573904,0.3110655852943483,0.310452747153773,0.38428258801511356,0.49808694573758305,0.26872277178718784,0.014892395718293457,0.3104526143357129,0.0
2014-07-07,0.32649579196795037,0.46593147818339437,0.2895137504525286,0.30732842569255414,0.39165622659008936,0.5117561868131858,0.2648125728257736,0.014614193649608774,0.3073282671248876,0.0
2014-07-08,0.3225605068131194,0.46585476781646457,0.29351305549222784,0.30772084789103876,0.39159968594778133,0.5277046261067146,0.2587165892467076,0.015163297305924662,0.3077206859219861,0.0
2014-07-09,0.32672533452691327,0.46537173511143914,0.2900317414362413,0.3059822005141952,0.38453399587999443,0.5208158637073912,0.25899213194962317,0.015163297305924662,0.3059820559427848,0.0
2014-07-10,0.29020065829578606,0.4583274916582864,0.29317399102136443,0.30584955994630597,0.39417678223098296,0.5207822900231716,0.2590103529861189,0.013927833076376163,0.30584942587422426,0.0
2014-07-11,0.2773173568753682,0.4657750400493369,0.2811775878990682,0.30378612989621845,0.40291887433119294,0.5311830619819806,0.26604773940199067,0.013601091324565003,0.3037859893807203,0.0
2014-07-14,0.2545069263375579,0.4699551109681023,0.2920391127392937,0.29217495901580204,0.41549205906981196,0.5295000520691551,0.2650846013402118,0.013601091324565003,0.29217486115552826,0.0
2014-07-15,0.23259208163104125,0.4653321194471457,0.286996232133497,0.29364097351399016,0.43119475028550014,0.5218084855062133,0.2659548943373973,0.013601091324565003,0.2936408973568871,0.0
2014-07-16,0.2338344777370742,0.4682773519965636,0.28935239744847746,0.30264768082148263,0.43704738498495665,0.5229561476690854,0.2658650009325643,0.013601091324565003,0.3026475766594742,0.0
2014-07-17,0.2047650829002892,0.46229533589826804,0.28929976793608725,0.302574723243335,0.43785396162368706,0.5315531276846666,0.26839408355806127,0.014103235698114688,0.3025746192343211,0.0
2014-07-18,0.2102111619202686,0.4803149370327924,0.32001171892588254,0.29308009822782255,0.4525743463388158,0.5413799054234298,0.2682352299321237,0.014103235698114688,0.29307997716883755,0.0
2014-07-21,0.19413539670177024,0.5083042462622454,0.3211114629733049,0.2930352214112732,0.46308174023102333,0.5307668835783997,0.26881211590619414,0.016012287513500856,0.2930351113380269,0.0
2014-07-22,0.19439506277330637,0.5263570213682812,0.2698096831795614,0.2885615952575662,0.45789316947285774,0.5200189825985124,0.27009195978610123,0.016012287513500856,0.2885614793172627,0.0
2014-07-23,0.1943883866315416,0.5379755363227252,0.2654563778334785,0.28816558413600885,0.46815291648140867,0.5072984932321826,0.2716919267291881,0.01555641789200737,0.28816547024480604,0.0
2014-07-25,0.18671965922108266,0.5440793511882485,0.2880512327907764,0.23329353705778227,0.47241532312578055,0.5327258508472537,0.2725003014471105,0.01555641789200737,0.2332934770962512,0.0
2014-07-30,0.19604563478594306,0.647163310160366,0.3216203022732856,0.23177220327252027,0.4614285614310766,0.5313195349623939,0.27218317870259,0.015057224223298159,0.23177216326843278,0.0
2014-07-31,0.19717821555629567,0.6469598477713562,0.33521552557172024,0.17175097759190272,0.45835434614417353,0.5267411246867553,0.27556066026869885,0.014587954941432271,0.17175095405333007,0.0
2014-08-01,0.1955773151811313,0.644500139269011,0.3345414492198892,0.1677007782696824,0.4511136079226907,0.5067146862604673,0.27545182325003653,0.014076252763666653,0.16770081160141256,0.0
2014-08-04,0.1967368029062054,0.6270621680257417,0.33092945532918605,0.16193643064442148,0.44560208007851054,0.5054497507760766,0.279486787363425,0.014076252763666653,0.16193649479113784,0.0
2014-08-05,0.1967368029062054,0.6272265074496566,0.33214116599071514,0.17576241869165404,0.44508706890252486,0.5265919981417406,0.310438308460336,0.014076252763666653,0.17576247301515452,0.0
2014-08-07,0.2110166684198868,0.633578427313736,0.33202040018185086,0.1491722864674473,0.44546249811491256,0.5208304377591423,0.3111510006854007,0.017661087621129393,0.14917235859718944,0.0
2014-08-08,0.21383306302581517,0.6371218847810801,0.33198266360072515,0.1465185635052395,0.44156583650526554,0.5011338824744764,0.3262690120248114,0.017661087621129393,0.14651860704579855,0.0
2014-08-12,0.1993685156381745,0.5784138229723146,0.3282170541442374,0.2192004793421932,0.44299252779893783,0.5268811282786797,0.2953270882739477,0.017661087621129393,0.21920025821424316,0.0
2014-08-13,0.19521105172588304,0.5893889912683585,0.3278712622838309,0.2326432142654649,0.4139036689186869,0.5086807496816639,0.2454318475580882,0.017661087621129393,0.2326430045200572,0.0
2014-08-14,0.19521105172588304,0.5872806661892145,0.3507919761540698,0.24399327097443066,0.41473331883145687,0.5266585985946332,0.2487957027508639,0.017661087621129393,0.2439930206674417,0.0
2014-08-15,0.1824744796419619,0.5935500364243871,0.3577551935441962,0.24423179449428387,0.41524780610518797,0.5264380861701048,0.24782908663125705,0.01609791894579719,0.2442315469830167,0.0
2014-08-18,0.17015406873874062,0.5845459635756576,0.3575566961886339,0.24613636193963728,0.39473087686698205,0.5346751547692612,0.23301233720688094,0.01609791894579719,0.24613610557326637,0.0
2014-08-19,0.16961580543880347,0.5845215241419903,0.36009417106122465,0.2665686802677452,0.3911547483851695,0.5401669193638039,0.2344189536029801,0.01599954106134873,0.2665683516813736,0.0
2014-08-20,0.16962027333042062,0.5845595542063882,0.3620325935432641,0.2667523770905429,0.3893673913789079,0.533682363711584,0.23491963906515004,0.01599954106134873,0.266752038076895,0.0
2014-08-21,0.16188704475900964,0.6022314453225737,0.36061381993595243,0.26602652158777235,0.37235189812684794,0.5177903534517234,0.2334802783718417,0.016949304823539815,0.2660261887989095,0.0
2014-08-22,0.1631648210409065,0.602569810952262,0.36198265942860397,0.27000487319332606,0.3728155864049085,0.5158560679255938,0.2334669073418789,0.016949304823539815,0.2700044912598276,0.0
2014-08-26,0.1521673131861753,0.6198789055520748,0.3420574425038257,0.27777000955562475,0.41787624279637264,0.5368540872877464,0.23265897918923079,0.016949304823539815,0.2777696161429372,0.0
2014-08-27,0.1521673131861753,0.6352906237073401,0.3288939723250632,0.2777983464020898,0.4269934653827183,0.5474259594984145,0.22114120833510265,0.016949304823539815,0.27779795233186994,0.0
2014-08-28,0.15307956836128497,0.6526724038132559,0.332519461478656,0.27475368163626224,0.4151253272456357,0.5474259594984145,0.21010852222112777,0.016949304823539815,0.2747532640057588,0.0
2014-08-29,0.15483753024316763,0.6493004121714088,0.32510384097391576,0.26591823726937586,0.4099839535487994,0.5535125129331931,0.21351179693586161,0.016462783888431975,0.2659178120122925,0.0
2014-09-01,0.1525803194647347,0.6579569277148248,0.32516834912741704,0.2662180675654498,0.39282168794313577,0.5509335924982994,0.21364323758199982,0.016462783888431975,0.2662176356691654,0.0
2014-09-02,0.1525803194647347,0.6439036245027989,0.30315836008523833,0.2661105472970907,0.39043276670632304,0.5358303818409117,0.2136296947836895,0.01424868701359852,0.2661101063250563,0.0
2014-09-03,0.14474901531643375,0.6339692786814303,0.302750760867281,0.26561684318815065,0.39577624795032085,0.5559894557789201,0.22687018929767278,0.015546639325764713,0.2656163880767227,0.0
2014-09-04,0.14062789670253942,0.637459818994022,0.30175006596336207,0.26541281743078854,0.39463729328247665,0.5609231064258025,0.23364018598022854,0.01643529590660569,0.2654123651001565,0.0
2014-09-05,0.14098165510646082,0.6364827178379336,0.30417508864601384,0.2653862831498005,0.3734522434282075,0.5994009092760091,0.22919696215278618,0.01643529590660569,0.26538583247713043,0.0
2014-09-08,0.14109237333682587,0.6361568767912635,0.29815961592112084,0.2655098010383004,0.34961575960675056,0.5874570534549975,0.24047282423681682,0.018734256349349512,0.2655093529502486,0.0
2014-09-09,0.14526130511039237,0.6358432747430883,0.287407136370158,0.2656599350918097,0.34961575960675056,0.5904139043250783,0.24191326137442948,0.02057835978266575,0.2656594854107259,0.0
