year,interest_rate
2025,
2024,
2023,2.87664578502372
2022,3.96855873884367
2021,-1.02433535391556
2020,2.14785084959324
2019,-25.7765299378193
2018,6.05597715767894
2017,5.79056686533675
2016,6.68623362327285
2015,13.5961532451283
2014,11.3562130249595
2013,11.2016222248975
2012,6.22480861375514
2011,5.68557985915527
2010,1.06773606467312
2009,18.1800016718669
2008,6.68490863394994
2007,9.18717123000012
2006,-5.62796804844818
2005,-1.59368048219881
