year,gdp_per_capita
2025,
2024,2324.64881202751
2023,2280.91931156115
2022,2254.29080416892
2021,2206.66406250067
2020,2228.68631422888
2019,2431.53528472982
2018,2431.77857832568
2017,2441.71236404488
2016,2481.81490350326
2015,2585.73360671797
2014,2583.6155695814
2013,2495.34106573749
2012,2403.65387896924
2011,2370.97657091803
2010,2315.46676509663
2009,2204.6072560373
2008,2098.28339220668
2007,2020.83316299454
2006,1949.15856804565
2005,1889.25175325818
