Date,open,high,low,close,volume
2012-03-08,201.11000061035156,219.5500030517578,201.11000061035156,219.5500030517578,1540811
2012-03-09,215.10000610351562,230.0,215.10000610351562,230.0,1570670
2012-03-12,226.0,241.5,226.0,241.5,462899
2012-03-13,229.42999267578125,229.55999755859375,229.42999267578125,229.55999755859375,538965
2012-03-14,220.02000427246094,225.0,220.02000427246094,225.0,733406
2012-03-15,228.0500030517578,228.0500030517578,228.00999450683594,228.02000427246094,871584
2012-03-16,239.0,239.0,239.0,239.0,236120
2012-03-19,227.1999969482422,233.05999755859375,227.1999969482422,233.05999755859375,700226
2012-03-20,233.05999755859375,233.05999755859375,230.19000244140625,230.19000244140625,399801
2012-03-21,231.0,231.0,231.0,231.0,463657
2012-03-22,220.0,239.0,220.0,238.0,1336479
2012-03-26,229.02999877929688,229.02999877929688,229.02999877929688,229.02999877929688,145085
2012-03-27,230.0,230.0,230.0,230.0,220639
2012-03-29,229.07000732421875,229.07000732421875,228.4199981689453,228.4199981689453,1096573
2012-03-30,230.1999969482422,239.83999633789062,230.1999969482422,239.83999633789062,276831
2012-04-04,230.0,230.0,230.0,230.0,305005
2012-04-05,230.13999938964844,230.13999938964844,230.13999938964844,230.13999938964844,453475
2012-04-12,230.0,230.0,230.0,230.0,747896
2012-04-13,225.08999633789062,225.08999633789062,225.08999633789062,225.08999633789062,260462
2012-04-19,230.00999450683594,232.0,230.00999450683594,232.0,414915
2012-04-20,235.25,235.25,235.25,235.25,307389
2012-04-24,236.57000732421875,237.5500030517578,236.57000732421875,237.5500030517578,475410
2012-04-25,237.00999450683594,237.00999450683594,237.00999450683594,237.00999450683594,668739
2012-04-27,237.02999877929688,237.02999877929688,237.02999877929688,237.02999877929688,320582
2012-05-02,240.0,240.05999755859375,240.0,240.0,2390772
2012-05-03,240.0,242.0,240.0,242.0,1830352
2012-05-04,242.0,242.0,240.0,240.0,937372
2012-05-07,240.0,240.0,240.0,240.0,277624
2012-05-14,235.0,235.0,235.0,235.0,582976
2012-05-21,223.25,223.25,223.25,223.25,396882
2012-05-23,224.25,224.25,224.25,224.25,339708
2012-05-24,223.97999572753906,223.99000549316406,223.97999572753906,223.99000549316406,755698
2012-06-07,227.0,227.0,227.0,227.0,360289
2012-06-08,227.0,229.0,227.0,229.0,722924
2012-06-12,225.11000061035156,227.0800018310547,225.11000061035156,227.0800018310547,219472
2012-06-19,223.0,227.0800018310547,223.0,227.0800018310547,363091
2012-06-21,220.0,220.0,220.0,220.0,195679
2012-06-22,220.0,220.0,220.0,220.0,560980
2012-06-25,220.0,220.0,220.0,220.0,106659
2012-06-26,220.0,220.0,220.0,220.0,99342
2012-06-27,220.02000427246094,228.0,220.02000427246094,228.0,692276
2012-07-03,227.0800018310547,227.0800018310547,226.99000549316406,227.0,1160208
2012-07-04,225.0,225.0,225.0,225.0,130614
2012-07-11,227.0,227.0,227.0,227.0,1369756
2012-07-12,228.0,228.0,228.0,228.0,280263
2012-07-20,239.39999389648438,239.39999389648438,239.39999389648438,239.39999389648438,255417
2012-07-23,239.0,239.0,239.0,239.0,456976
2012-07-24,239.02000427246094,239.02000427246094,239.02000427246094,239.02000427246094,306759
2012-07-25,239.02999877929688,240.0,239.02999877929688,240.0,412321
2012-07-26,240.0,240.0,240.0,240.0,487534
2012-07-27,240.0,240.0,240.0,240.0,366621
2012-07-30,241.0,241.0,241.0,241.0,287760
2012-07-31,242.0,242.0,242.0,242.0,326714
2012-08-03,242.1999969482422,242.1999969482422,242.1999969482422,242.1999969482422,132768
2012-08-22,245.00999450683594,245.00999450683594,245.00999450683594,245.00999450683594,837809
2012-08-23,245.25,245.25,245.25,245.25,1269280
2012-08-24,245.52000427246094,249.0,245.5,249.0,725276
2012-08-27,249.0,249.0,249.0,249.0,171971
2012-08-30,252.0,252.0,252.0,252.0,162284
2012-08-31,252.0,252.50999450683594,252.0,252.5,485318
2012-09-04,250.02999877929688,255.0,250.02999877929688,255.0,621858
2012-09-06,252.0,252.0,252.0,252.0,233045
2012-09-10,252.1999969482422,252.1999969482422,252.1999969482422,252.1999969482422,196248
2012-09-11,252.89999389648438,252.89999389648438,252.89999389648438,252.89999389648438,105928
2012-09-12,260.0,260.0,260.0,260.0,445925
2012-09-18,260.010009765625,260.010009765625,260.010009765625,260.010009765625,269649
2012-09-19,260.0,260.0,260.0,260.0,494548
2012-09-25,259.0,260.0,259.0,260.0,559684
2012-10-02,264.0,264.0,264.0,264.0,371925
2012-10-03,277.20001220703125,277.20001220703125,277.20001220703125,277.20001220703125,285371
2012-10-10,280.0,280.0,280.0,280.0,175606
2012-10-12,280.0,281.6000061035156,280.0,281.6000061035156,288229
2012-10-15,281.0,281.0,281.0,281.0,237110
2012-10-16,281.0,281.0,280.0,280.0,747533
2012-10-17,266.3299865722656,266.3299865722656,266.3299865722656,266.3299865722656,214411
2012-10-19,265.0,265.0,265.0,265.0,332781
2012-10-23,270.010009765625,270.010009765625,270.010009765625,270.010009765625,494009
2012-10-24,263.0,263.0,263.0,263.0,1251125
2012-10-31,263.4100036621094,263.4100036621094,263.4100036621094,263.4100036621094,103875
2012-11-01,263.4100036621094,263.4100036621094,263.4100036621094,263.4100036621094,1044152
2012-11-02,263.4100036621094,263.4100036621094,263.4100036621094,263.4100036621094,172472
2012-11-05,263.5,263.5,263.5,263.5,472491
2012-11-06,263.5,263.5,263.5,263.5,655850
2012-11-07,265.0,265.1099853515625,265.0,265.0,2445133
2012-11-15,251.85000610351562,251.85000610351562,251.85000610351562,251.85000610351562,264769
2012-11-21,239.25999450683594,239.25999450683594,239.25999450683594,239.25999450683594,381221
2012-11-22,247.89999389648438,247.89999389648438,231.0,231.0,971468
2012-11-23,230.0,230.0,230.0,230.0,1275390
2012-11-26,230.19000244140625,230.19000244140625,230.19000244140625,230.19000244140625,278356
2012-12-03,240.0,240.0,240.0,240.0,435938
2012-12-04,241.0,241.10000610351562,240.5,241.10000610351562,451365
2012-12-10,250.0,250.0,250.0,250.0,195202
2012-12-13,260.0,260.0,260.0,260.0,236483
2012-12-14,260.0199890136719,265.0,260.0199890136719,265.0,367805
2012-12-17,260.0,260.0,260.0,260.0,251861
2012-12-19,254.0,260.0,254.0,254.0,826795
2012-12-20,254.1999969482422,255.11000061035156,254.1999969482422,255.11000061035156,711432
2012-12-21,261.0,261.0,261.0,261.0,102026
2012-12-27,265.1499938964844,265.1499938964844,265.1499938964844,265.1499938964844,106312
2012-12-28,269.0,277.5,269.0,272.1199951171875,286113
2012-12-31,275.0,275.0,275.0,275.0,405211
2013-01-02,275.0,275.0,275.0,275.0,192469
2013-01-03,276.0,276.75,276.0,276.75,155063
2013-01-07,270.0,276.0,270.0,276.0,410721
2013-01-08,276.1000061035156,276.1000061035156,276.0,276.04998779296875,249490
2013-01-09,276.0,276.79998779296875,276.0,276.5199890136719,475418
2013-01-10,276.04998779296875,276.5,276.04998779296875,276.20001220703125,1308357
2013-01-11,276.5,290.0,276.5,290.0,307416
2013-01-14,290.0,290.0,290.0,290.0,496137
2013-01-15,289.0,290.05999755859375,289.0,290.05999755859375,361882
2013-01-16,290.0,290.0,290.0,290.0,181278
2013-01-17,290.0,291.0,290.0,291.0,256816
2013-01-18,290.79998779296875,291.0,290.7900085449219,291.0,812721
2013-01-21,291.010009765625,291.010009765625,285.0,287.0,215429
2013-01-22,285.0,285.04998779296875,285.0,285.0,268246
2013-01-23,284.0,285.0,284.0,285.0,145357
2013-01-25,285.0,285.0,285.0,285.0,897288
2013-01-28,285.0,290.0,285.0,290.0,87691
2013-01-30,280.1099853515625,291.260009765625,280.1099853515625,291.260009765625,328721
2013-01-31,291.260009765625,293.0,291.260009765625,293.0,325328
2013-02-01,291.5,292.5,291.5,292.0299987792969,321182
2013-02-04,293.1000061035156,294.2099914550781,293.1000061035156,294.2099914550781,206943
2013-02-05,294.2300109863281,297.5,294.2300109863281,295.510009765625,332511
2013-02-06,297.0,297.1099853515625,297.0,297.1099853515625,705108
2013-02-07,295.8699951171875,297.0199890136719,295.8699951171875,297.0199890136719,194122
2013-02-08,297.3699951171875,297.4100036621094,297.3699951171875,297.4100036621094,198629
2013-02-11,296.0,296.3999938964844,295.95001220703125,296.0,265460
2013-02-12,296.0199890136719,296.5400085449219,296.0,296.4599914550781,495461
2013-02-13,290.0,291.5,290.0,291.0,445700
2013-02-14,290.1000061035156,290.8999938964844,290.1000061035156,290.8999938964844,122582
2013-02-15,290.0,290.0,290.0,290.0,221519
2013-02-18,289.0,289.0,289.0,289.0,242997
2013-02-19,280.0,280.0,280.0,280.0,121818
2013-02-20,275.0,275.0,275.0,275.0,1594147
2013-02-21,276.0,276.0,275.45001220703125,276.0,216497
2013-02-22,276.0,276.29998779296875,276.0,276.29998779296875,246137
2013-02-25,290.29998779296875,290.4200134277344,290.0,290.0,337184
2013-02-26,291.0,291.05999755859375,291.0,291.05999755859375,108036
2013-02-27,293.6300048828125,293.6300048828125,293.0,293.0,321350
2013-02-28,285.0,285.0,276.0,276.0,155363
2013-03-01,276.5,276.5,276.2099914550781,276.5,247222
2013-03-04,276.6000061035156,276.6000061035156,269.989990234375,270.0,472518
2013-03-05,265.0,265.0,264.989990234375,265.0,604297
2013-03-06,265.0,265.0,265.0,265.0,373682
2013-03-07,265.0,265.05999755859375,265.0,265.0,540009
2013-03-08,265.010009765625,265.010009765625,265.0,265.0,1088564
2013-03-11,265.0,265.0299987792969,265.0,265.0299987792969,230241
2013-03-12,270.0,289.8999938964844,270.0,289.8999938964844,493811
2013-03-13,278.0,281.20001220703125,278.0,281.20001220703125,87788
2013-03-14,280.0,280.0,275.5,275.5,140311
2013-03-18,270.1499938964844,270.1499938964844,265.010009765625,265.010009765625,323734
2013-03-19,265.04998779296875,265.04998779296875,265.0,265.0400085449219,275587
2013-03-20,265.0,265.20001220703125,265.0,265.0,234820
2013-03-21,267.0,267.0,267.0,267.0,386375
2013-03-22,265.0,265.0,265.0,265.0,147266
2013-03-25,265.3699951171875,265.3699951171875,265.0,265.0,304366
2013-03-26,263.0,263.0299987792969,263.0,263.010009765625,1083377
2013-03-27,263.1000061035156,263.79998779296875,263.1000061035156,263.79998779296875,174656
2013-03-28,265.0,265.0,265.0,265.0,97669
2013-04-02,265.0,265.0199890136719,265.0,265.0199890136719,199953
2013-04-03,266.0,266.0,266.0,266.0,402790
2013-04-04,266.0,266.0,265.0,265.0,436863
2013-04-05,265.0,265.0199890136719,265.0,265.0,425649
2013-04-08,264.45001220703125,265.0,264.45001220703125,265.0,519824
2013-04-09,262.010009765625,265.010009765625,262.010009765625,265.0,222895
2013-04-10,264.0,264.0,264.0,264.0,440088
2013-04-11,264.0,264.0,262.0,262.0,739616
2013-04-12,252.1999969482422,261.0,252.1999969482422,261.0,1533899
2013-04-15,260.0,260.0,260.0,260.0,397400
2013-04-16,260.0,262.0,260.0,260.0,418279
2013-04-17,260.0,260.0,260.0,260.0,911518
2013-04-18,259.8900146484375,260.20001220703125,259.8900146484375,260.20001220703125,657937
2013-04-22,260.1000061035156,260.1000061035156,260.1000061035156,260.1000061035156,162752
2013-04-23,251.00999450683594,260.0299987792969,251.00999450683594,260.0199890136719,3121257
2013-04-24,260.0199890136719,260.05999755859375,260.0,260.0,3086802
2013-04-25,253.0399932861328,253.0399932861328,253.0399932861328,253.0399932861328,68109
2013-04-29,264.0,264.6000061035156,264.0,264.6000061035156,1313438
2013-04-30,265.2799987792969,265.2799987792969,265.2799987792969,265.2799987792969,57678
2013-05-02,266.1499938964844,266.1499938964844,266.1499938964844,266.1499938964844,129444
2013-05-03,274.0799865722656,274.510009765625,274.0199890136719,274.0199890136719,309882
2013-05-06,274.29998779296875,274.29998779296875,274.29998779296875,274.29998779296875,145882
2013-05-09,280.0,280.1000061035156,280.0,280.0,185232
2013-05-10,280.010009765625,280.010009765625,278.0,280.0,3030609
2013-05-13,280.0,280.0,280.0,280.0,135175
2013-05-14,278.0,278.0,270.0,270.2200012207031,250435
2013-05-15,270.0,275.0,270.0,275.0,535289
2013-05-16,276.0,276.0,275.0,275.0,740231
2013-05-17,275.0,275.0,275.0,275.0,58162
2013-05-20,278.0,278.0,277.1300048828125,278.0,776149
2013-05-21,280.0,280.0,280.0,280.0,477771
2013-05-23,282.489990234375,282.5,280.0,280.0,258060
2013-05-24,280.0,280.0,280.0,280.0,553627
2013-05-28,280.0,280.0,276.05999755859375,279.010009765625,685025
2013-05-30,275.6099853515625,275.6099853515625,275.6099853515625,275.6099853515625,46108
2013-05-31,275.6499938964844,276.0,275.6499938964844,276.0,276626
2013-06-03,279.5,279.5,276.0,276.0,140309
2013-06-04,277.0,280.0,277.0,280.0,126846
2013-06-05,279.0,279.989990234375,278.0,279.0,479218
2013-06-06,279.0,279.0,277.04998779296875,277.04998779296875,166402
2013-06-07,277.0,277.0,277.0,277.0,94539
2013-06-10,277.0299987792969,288.0,277.0299987792969,288.0,279706
2013-06-11,290.0,293.0,288.0,293.0,228467
2013-06-12,293.0,293.0,280.0,280.0,1587555
2013-06-13,275.0,275.0,270.0,270.0,1642222
2013-06-14,270.0,271.8999938964844,270.0,271.5,317540
2013-06-17,265.0,265.0,265.0,265.0,257619
2013-06-18,259.989990234375,260.0,255.30999755859375,259.1000061035156,646263
2013-06-19,259.0,260.0,259.0,260.0,2787717
2013-06-21,260.0,260.0,260.0,260.0,1185856
2013-06-24,255.0,255.0,255.0,255.0,42420
2013-06-25,251.5,251.5,248.0,251.0,239212
2013-06-26,249.0,251.0,249.0,251.0,301764
2013-06-27,256.0,256.0,251.07000732421875,251.07000732421875,72159
2013-07-01,252.0,252.0,251.7100067138672,251.7100067138672,123401
2013-07-02,251.7100067138672,251.7100067138672,251.7100067138672,251.7100067138672,101947
2013-07-03,252.00999450683594,252.00999450683594,252.00999450683594,252.00999450683594,87828
2013-07-04,252.0,252.0,252.0,252.0,183948
2013-07-08,252.0,255.0,252.0,255.0,326330
2013-07-09,251.0,251.0,251.0,251.0,68477
2013-07-10,251.0,251.11000061035156,251.0,251.11000061035156,428348
2013-07-15,253.0,266.0,253.0,266.0,237410
2013-07-17,263.0,263.0,260.0,260.0,133173
2013-07-18,260.0,260.2099914550781,260.0,260.20001220703125,484443
