Date,open,high,low,close,volume
03/01/12,1.350000024,1.350000024,1.350000024,1.350000024,309087
05/01/12,1.289999962,1.289999962,1.289999962,1.289999962,155000
06/01/12,1.320000052,1.320000052,1.230000019,1.230000019,1000070
17/01/12,1.289999962,1.289999962,1.25999999,1.289999962,994150
18/01/12,1.350000024,1.350000024,1.279999971,1.279999971,1114127
19/01/12,1.289999962,1.299999952,1.289999962,1.299999952,603512
20/01/12,1.299999952,1.299999952,1.299999952,1.299999952,82606
23/01/12,1.24000001,1.24000001,1.24000001,1.24000001,6029449
25/01/12,1.179999948,1.179999948,1.179999948,1.179999948,604610
27/01/12,1.230000019,1.230000019,1.230000019,1.230000019,200000
30/01/12,1.230000019,1.230000019,1.230000019,1.230000019,1466400
31/01/12,1.169999957,1.200000048,1.169999957,1.200000048,227049
01/02/12,1.200000048,1.200000048,1.200000048,1.200000048,1510000
02/02/12,1.25999999,1.25999999,1.25999999,1.25999999,120900
03/02/12,1.25999999,1.25999999,1.25999999,1.25999999,160000
08/02/12,1.200000048,1.200000048,1.200000048,1.200000048,902973
09/02/12,1.139999986,1.179999948,1.139999986,1.179999948,4584327
10/02/12,1.129999995,1.159999967,1.129999995,1.159999967,341264
14/02/12,1.110000014,1.110000014,1.110000014,1.110000014,301560
15/02/12,1.059999943,1.059999943,1.059999943,1.059999943,250000
16/02/12,1.049999952,1.110000014,1.00999999,1.080000043,5767586
17/02/12,1.090000033,1.129999995,1.080000043,1.129999995,2420959
20/02/12,1.179999948,1.179999948,1.179999948,1.179999948,922550
21/02/12,1.139999986,1.230000019,1.139999986,1.230000019,1383450
22/02/12,1.289999962,1.289999962,1.289999962,1.289999962,1172830
23/02/12,1.350000024,1.350000024,1.320000052,1.350000024,3278818
24/02/12,1.409999967,1.409999967,1.379999995,1.379999995,760600
27/02/12,1.350000024,1.350000024,1.320000052,1.320000052,1898900
28/02/12,1.25999999,1.25999999,1.25999999,1.25999999,467000
29/02/12,1.210000038,1.210000038,1.200000048,1.200000048,1464000
01/03/12,1.200000048,1.200000048,1.200000048,1.200000048,1300300
02/03/12,1.190000057,1.200000048,1.190000057,1.200000048,1030000
05/03/12,1.200000048,1.200000048,1.200000048,1.200000048,142700
06/03/12,1.200000048,1.25,1.200000048,1.24000001,1011500
07/03/12,1.25999999,1.25999999,1.210000038,1.210000038,611430
08/03/12,1.269999981,1.269999981,1.269999981,1.269999981,750200
12/03/12,1.24000001,1.24000001,1.24000001,1.24000001,160300
13/03/12,1.179999948,1.200000048,1.179999948,1.200000048,1020000
15/03/12,1.200000048,1.200000048,1.200000048,1.200000048,192844
16/03/12,1.200000048,1.220000029,1.200000048,1.220000029,202000
19/03/12,1.24000001,1.24000001,1.24000001,1.24000001,156356
20/03/12,1.220000029,1.220000029,1.220000029,1.220000029,83744
21/03/12,1.220000029,1.230000019,1.200000048,1.230000019,882950
22/03/12,1.220000029,1.220000029,1.220000029,1.220000029,102400
26/03/12,1.25,1.279999971,1.25,1.279999971,659850
27/03/12,1.25,1.25,1.25,1.25,57000
28/03/12,1.25,1.25,1.25,1.25,1258000
29/03/12,1.25,1.25,1.25,1.25,300500
30/03/12,1.269999981,1.269999981,1.269999981,1.269999981,311800
02/04/12,1.279999971,1.279999971,1.210000038,1.269999981,2614500
03/04/12,1.220000029,1.330000043,1.210000038,1.330000043,822500
04/04/12,1.389999986,1.389999986,1.389999986,1.389999986,182083
05/04/12,1.450000048,1.450000048,1.450000048,1.450000048,6324239
10/04/12,1.519999981,1.519999981,1.519999981,1.519999981,565200
11/04/12,1.590000033,1.590000033,1.470000029,1.580000043,4948536
12/04/12,1.580000043,1.600000024,1.50999999,1.549999952,7831489
13/04/12,1.49000001,1.539999962,1.480000019,1.539999962,4461454
17/04/12,1.470000029,1.470000029,1.470000029,1.470000029,7275125
18/04/12,1.460000038,1.539999962,1.409999967,1.539999962,3143000
19/04/12,1.519999981,1.600000024,1.50999999,1.600000024,2275616
20/04/12,1.600000024,1.659999967,1.549999952,1.659999967,113236208
23/04/12,1.580000043,1.580000043,1.580000043,1.580000043,295000
24/04/12,1.529999971,1.580000043,1.519999981,1.519999981,270100
25/04/12,1.549999952,1.590000033,1.529999971,1.590000033,977949
26/04/12,1.580000043,1.580000043,1.580000043,1.580000043,63000
27/04/12,1.580000043,1.580000043,1.549999952,1.549999952,574000
30/04/12,1.600000024,1.600000024,1.600000024,1.600000024,327333
02/05/12,1.600000024,1.659999967,1.600000024,1.659999967,1106940
03/05/12,1.659999967,1.659999967,1.659999967,1.659999967,130100
04/05/12,1.600000024,1.610000014,1.590000033,1.600000024,1135000
07/05/12,1.539999962,1.600000024,1.529999971,1.529999971,1572378
08/05/12,1.570000052,1.580000043,1.570000052,1.580000043,1473640
09/05/12,1.580000043,1.600000024,1.580000043,1.600000024,2077377
